Nome;Sobrenome;Cidade;Estado;Data_Nascimento;Empresa;Estado_Civil;Salario
Sade;Sargent;Paulista;Pernambuco;23/06/93;Serviço ao Cliente;Divorciado;R$7,349
Benjamin;Valencia;Cajazeiras;Paraíba;04/12/48;Jurídico;Solteiro;R$9,368
Dara;Moran;Petrópolis;Rio de Janeiro;18/10/17;Serviço ao Cliente;Divorciado;R$6,539
Fuller;Puckett;Petrópolis;RJ;31/07/75;Gerenciamento;Casado;R$6,783
Avye;Oneal;Santa Luzia;MG;14/11/84;Marketing;Viúvo;R$5,291
Sara;Mitchell;Camaçari;BA;20/09/49;Serviço ao Cliente;Divorciado;R$7,210
Justina;Alston;Campos dos Goytacazes;RJ;22/06/92;Gerenciamento;Viúvo;R$8,960
Martin;Rodriguez;Belo Horizonte;MG;26/04/66;Relações Públicas;Divorciado;R$8,169
Lesley;Yang;Jundiaí;SP;01/07/75;Vendas;Solteiro;R$8,873
Hedda;Gamble;Campinas;São Paulo;24/08/51;Vendas;Solteiro;R$6,444
Vielka;Wiley;Carapicuíba;SP;02/04/94;Marketing;Viúvo;R$7,908
Leigh;Kirkland;Jundiaí;SP;29/01/48;Relações Públicas;Casado;R$7,535
Emery;Tate;Carapicuíba;São Paulo;19/01/59;Serviço ao Cliente;Divorciado;R$7,839
Mark;Huffman;Chapecó;Santa Catarina;07/08/58;Recursos Humanos;Solteiro;R$6,050
Gareth;Duffy;Campinas;São Paulo;26/09/04;Vendas;Solteiro;R$7,672
Macey;Dennis;Barra do Corda;Maranhão;12/01/52;Pesquisa e Desenvolvimento;Viúvo;R$5,300
Angelica;Nelson;Camaçari;BA;15/07/92;Relações Públicas;Casado;R$9,999
Roary;Stevens;Jundiaí;SP;16/12/64;Vendas;Viúvo;R$8,870
Ira;Frederick;Divinópolis;Minas Gerais;28/06/68;Relações Públicas;Solteiro;R$9,423
Ian;Randall;Florianópolis;Santa Catarina;18/08/75;Jurídico;Divorciado;R$7,760
Axel;Nicholson;Lauro de Freitas;BA;15/10/38;Vendas;Casado;R$9,423
Maryam;Mayer;Ribeirão Preto;São Paulo;19/11/88;Recursos Humanos;Casado;R$8,414
Ryan;Daniels;Uberlândia;Minas Gerais;27/02/06;Recursos Humanos;Casado;R$7,254
Amity;Gilliam;Mauá;São Paulo;17/12/77;Financeiro;Viúvo;R$9,904
Cadman;Bush;Balsas;Maranhão;26/05/48;Relações Públicas;Viúvo;R$6,149
Wynter;Weber;Maranguape;Ceará;31/08/51;Pesquisa e Desenvolvimento;Solteiro;R$8,755
Judah;Fry;Belford Roxo;RJ;05/10/99;Vendas;Casado;R$6,379
Octavius;Michael;Petrópolis;Rio de Janeiro;18/07/79;Financeiro;Casado;R$6,401
Callie;Glover;Joinville;Santa Catarina;07/09/30;Serviço ao Cliente;Solteiro;R$5,511
Hayden;Farmer;Juazeiro;Bahia;22/05/35;Vendas;Viúvo;R$6,388
Neil;Nguyen;Guarapuava;Paraná;08/02/88;Vendas;Solteiro;R$9,008
Ginger;Serrano;Ilhéus;Bahia;08/01/30;Marketing;Casado;R$8,729
Elvis;Hampton;Mogi das Cruzes;SP;06/05/50;Recursos Humanos;Solteiro;R$7,271
Shaine;Doyle;Ribeirão Preto;SP;29/07/33;Financeiro;Viúvo;R$6,612
Nash;Jacobson;João Pessoa;Paraíba;18/03/36;Recursos Humanos;Solteiro;R$9,633
Olympia;Randall;Marabá;Pará;01/09/47;Pesquisa e Desenvolvimento;Divorciado;R$8,848
Warren;Key;Petrolina;PE;13/08/36;Relações Públicas;Viúvo;R$7,430
Hilel;Warner;Juazeiro;BA;08/11/44;Gerenciamento;Divorciado;R$5,225
Bethany;Rios;Balsas;MA;25/12/68;Jurídico;Solteiro;R$8,165
Dane;Castro;São João de Meriti;Rio de Janeiro;08/05/79;Pesquisa e Desenvolvimento;Viúvo;R$5,452
Russell;Gallagher;Diadema;São Paulo;17/03/35;Gerenciamento;Viúvo;R$6,175
Austin;Sears;Pelotas;Rio Grande do Sul;14/09/11;Jurídico;Solteiro;R$6,669
Anastasia;Marshall;Feira de Santana;BA;17/08/08;Pesquisa e Desenvolvimento;Solteiro;R$9,168
Mollie;Whitaker;Ribeirão Preto;São Paulo;11/07/93;Suporte Técnico;Casado;R$9,090
Zeph;Holland;Ribeirão Preto;SP;21/09/89;Vendas;Divorciado;R$5,414
Yasir;Potter;Timon;Maranhão;26/06/62;Jurídico;Viúvo;R$5,272
Roanna;Patel;Piracicaba;SP;22/09/77;Recursos Humanos;Divorciado;R$9,380
Deacon;Robertson;Bacabal;Maranhão;05/10/18;Suporte Técnico;Casado;R$8,764
Karen;Mitchell;Gravataí;RS;24/09/06;Suporte Técnico;Solteiro;R$8,486
Dexter;Mccarthy;Chapadinha;Maranhão;16/06/77;Financeiro;Viúvo;R$6,657
Felicia;Haynes;Gravataí;Rio Grande do Sul;24/10/80;Relações Públicas;Divorciado;R$6,368
Mira;Dickson;Piracicaba;SP;20/07/73;Financeiro;Viúvo;R$6,982
Roary;Atkins;Itajaí;Santa Catarina;30/09/68;Recursos Humanos;Casado;R$8,211
Mara;Watson;Ribeirão das Neves;Minas Gerais;16/01/30;Vendas;Divorciado;R$6,028
Oleg;Wheeler;Osasco;São Paulo;21/04/99;Jurídico;Solteiro;R$9,226
Jenna;Fox;Caucaia;Ceará;23/04/42;Pesquisa e Desenvolvimento;Casado;R$7,558
Clinton;Taylor;Rio Verde;GO;04/05/13;Serviço ao Cliente;Solteiro;R$5,919
Yolanda;Knight;Crato;CE;17/04/55;Pesquisa e Desenvolvimento;Casado;R$6,601
Natalie;Moody;Paço do Lumiar;Maranhão;07/12/32;Recursos Humanos;Casado;R$7,101
Macaulay;Barnett;Camaçari;Bahia;31/08/15;Vendas;Viúvo;R$9,756
Eric;Blackwell;Camaçari;BA;14/06/57;Serviço ao Cliente;Solteiro;R$6,197
Nathaniel;Frost;Lauro de Freitas;Bahia;21/06/73;Suporte Técnico;Divorciado;R$8,053
Violet;Rutledge;Caucaia;CE;29/12/31;Relações Públicas;Casado;R$9,928
Nathan;Benson;Ribeirão das Neves;Minas Gerais;13/01/67;Financeiro;Divorciado;R$7,738
Giselle;Forbes;Diadema;SP;02/07/97;Suporte Técnico;Casado;R$5,587
Alec;Hooper;Osasco;São Paulo;08/11/41;Marketing;Solteiro;R$9,177
Jasmine;Mcguire;Maringá;Paraná;10/05/59;Financeiro;Casado;R$8,012
Wendy;Parsons;Campinas;SP;26/02/77;Recursos Humanos;Viúvo;R$7,570
Neil;Perkins;Campinas;São Paulo;27/12/89;Marketing;Solteiro;R$8,052
Echo;Good;Belo Horizonte;Minas Gerais;21/09/62;Recursos Humanos;Divorciado;R$5,271
Jane;Mckee;Águas Lindas de Goiás;GO;26/07/66;Recursos Humanos;Divorciado;R$6,557
Deirdre;Meyers;Ribeirão Preto;São Paulo;01/01/12;Vendas;Casado;R$7,448
Hyatt;Meyers;Olinda;PE;08/07/98;Relações Públicas;Divorciado;R$8,688
Ulric;Blake;Salvador;BA;19/02/96;Marketing;Casado;R$6,514
Mercedes;Baird;Camaragibe;PE;26/08/85;Gerenciamento;Casado;R$9,580
Cullen;Nichols;Petrópolis;Rio de Janeiro;08/03/59;Recursos Humanos;Casado;R$6,176
Camden;Kline;Petrópolis;RJ;07/07/72;Serviço ao Cliente;Solteiro;R$5,663
Wanda;Clayton;Feira de Santana;BA;16/07/81;Gerenciamento;Solteiro;R$9,523
Quemby;Guzman;Ribeirão Preto;SP;13/04/16;Gerenciamento;Solteiro;R$9,577
Abbot;Pennington;Campinas;SP;04/02/78;Financeiro;Divorciado;R$7,335
Martena;Carver;Maracanaú;CE;17/03/35;Financeiro;Casado;R$5,907
Coby;Crane;Cabo de Santo Agostinho;Pernambuco;24/03/49;Pesquisa e Desenvolvimento;Divorciado;R$8,255
Kirby;Dudley;Santa Luzia;Minas Gerais;18/01/98;Vendas;Solteiro;R$8,086
Inga;Cabrera;Osasco;São Paulo;04/12/10;Serviço ao Cliente;Solteiro;R$8,169
Zia;Reid;Castanhal;Pará;21/08/75;Financeiro;Casado;R$9,679
Shannon;Grant;Piracicaba;São Paulo;24/10/11;Relações Públicas;Divorciado;R$6,688
Hanae;Saunders;Betim;MG;23/05/82;Marketing;Viúvo;R$6,321
Brandon;Hardy;Mauá;São Paulo;09/01/74;Marketing;Casado;R$5,991
Clementine;Mays;Novo Hamburgo;Rio Grande do Sul;24/02/70;Jurídico;Casado;R$5,524
Nigel;Wyatt;Diadema;SP;23/07/84;Marketing;Divorciado;R$9,891
Colt;Ortega;Lauro de Freitas;BA;13/09/10;Marketing;Solteiro;R$8,720
Imani;Strickland;Santa Luzia;Minas Gerais;24/01/69;Relações Públicas;Divorciado;R$5,057
Ferris;Higgins;Piracicaba;São Paulo;16/04/37;Pesquisa e Desenvolvimento;Divorciado;R$5,441
Suki;Wolf;Santa Luzia;MG;10/07/05;Vendas;Casado;R$9,193
Leonard;Gibbs;Itajaí;SC;02/05/19;Pesquisa e Desenvolvimento;Viúvo;R$7,373
Emerald;Horton;Novo Hamburgo;Rio Grande do Sul;22/09/91;Financeiro;Divorciado;R$7,824
Isaiah;Hughes;Belo Horizonte;MG;04/05/37;Relações Públicas;Solteiro;R$5,986
Mia;Joseph;Mauá;São Paulo;23/09/17;Vendas;Viúvo;R$9,771
Karly;Christensen;Barra do Corda;MA;30/05/35;Serviço ao Cliente;Divorciado;R$5,466
Justine;Clayton;Osasco;São Paulo;05/02/49;Financeiro;Viúvo;R$6,534
Susan;Wagner;Londrina;PR;26/08/70;Suporte Técnico;Casado;R$5,017
Elvis;Benson;Maracanaú;CE;06/08/02;Vendas;Casado;R$8,822
Xander;Acevedo;Chapecó;Santa Catarina;21/03/84;Recursos Humanos;Casado;R$7,835
Lydia;Moran;Campinas;SP;04/02/47;Serviço ao Cliente;Casado;R$8,281
Aurelia;Weber;Juazeiro;BA;05/08/51;Relações Públicas;Casado;R$5,707
Pandora;Strong;Mogi das Cruzes;São Paulo;07/11/45;Relações Públicas;Viúvo;R$5,026
Charity;Warren;Jundiaí;São Paulo;23/09/49;Marketing;Solteiro;R$7,784
Cullen;Castillo;Sete Lagoas;MG;05/09/62;Suporte Técnico;Casado;R$8,349
Price;Avila;Carapicuíba;São Paulo;21/01/00;Vendas;Divorciado;R$5,439
Keegan;Bennett;Cabo de Santo Agostinho;Pernambuco;13/06/07;Marketing;Divorciado;R$7,064
Nicholas;Vaughan;Contagem;Minas Gerais;08/08/36;Relações Públicas;Viúvo;R$8,603
Lacey;Phillips;Paulista;PE;25/04/70;Jurídico;Casado;R$9,973
Isaiah;Boyer;Camaçari;Bahia;18/12/85;Relações Públicas;Viúvo;R$8,400
Pandora;Barron;Recife;Pernambuco;18/06/18;Pesquisa e Desenvolvimento;Divorciado;R$5,794
Alexander;Singleton;Novo Hamburgo;RS;24/06/66;Jurídico;Divorciado;R$7,425
Joelle;Williamson;Castanhal;Pará;26/04/32;Suporte Técnico;Casado;R$6,368
Thaddeus;Bright;Juazeiro;BA;20/05/74;Marketing;Viúvo;R$6,518
Casey;Meadows;Osasco;São Paulo;04/08/35;Gerenciamento;Divorciado;R$6,796
Genevieve;Andrews;Osasco;São Paulo;30/12/65;Pesquisa e Desenvolvimento;Casado;R$5,755
James;Welch;Montes Claros;Minas Gerais;19/08/92;Serviço ao Cliente;Viúvo;R$8,482
Sean;Blevins;Santa Luzia;MG;19/12/05;Marketing;Viúvo;R$6,644
Zephr;Galloway;Campos dos Goytacazes;RJ;08/05/95;Vendas;Viúvo;R$5,646
Quinn;Page;Piracicaba;SP;24/08/87;Vendas;Divorciado;R$9,872
Hunter;Langley;Castanhal;Pará;13/06/46;Pesquisa e Desenvolvimento;Casado;R$9,219
Clinton;Howell;Jundiaí;SP;16/02/13;Recursos Humanos;Divorciado;R$6,292
Richard;Fletcher;Diadema;São Paulo;22/04/02;Relações Públicas;Viúvo;R$7,159
Clayton;Gillespie;Itabuna;BA;09/01/30;Jurídico;Casado;R$5,985
Alec;Melton;Camaçari;BA;04/11/92;Jurídico;Casado;R$9,336
Elton;Olsen;Mauá;SP;06/03/58;Pesquisa e Desenvolvimento;Casado;R$7,551
Haley;Conley;Mauá;SP;04/07/87;Recursos Humanos;Solteiro;R$9,259
Hasad;Frederick;Crato;CE;18/11/13;Recursos Humanos;Solteiro;R$6,564
Abbot;Case;Juiz de Fora;Minas Gerais;08/08/00;Marketing;Viúvo;R$8,269
Jayme;Ellis;Carapicuíba;São Paulo;12/06/12;Pesquisa e Desenvolvimento;Viúvo;R$8,621
Lionel;Strickland;Feira de Santana;Bahia;23/11/31;Jurídico;Viúvo;R$5,852
Benedict;Glenn;Campina Grande;PB;28/03/16;Marketing;Viúvo;R$8,734
Melyssa;Trevino;Ipatinga;MG;30/08/03;Suporte Técnico;Casado;R$8,521
Eric;Irwin;Balsas;Maranhão;30/12/57;Serviço ao Cliente;Casado;R$5,609
Gregory;King;Águas Lindas de Goiás;Goiás;30/07/91;Financeiro;Divorciado;R$5,111
Zahir;Alvarez;Paulista;Pernambuco;12/10/62;Vendas;Casado;R$7,535
Vaughan;Gonzales;Santa Maria;Rio Grande do Sul;22/07/73;Suporte Técnico;Solteiro;R$7,543
Jason;Parsons;Diadema;SP;12/12/89;Recursos Humanos;Divorciado;R$9,057
Matthew;Fuentes;Cametá;PA;24/04/67;Serviço ao Cliente;Viúvo;R$8,628
Ciaran;Church;Divinópolis;Minas Gerais;08/03/43;Jurídico;Solteiro;R$7,356
Xantha;Hardy;Mauá;SP;19/12/39;Financeiro;Divorciado;R$7,320
Gavin;Crane;Cabo de Santo Agostinho;PE;25/02/66;Vendas;Casado;R$7,749
Madonna;Porter;Colombo;PR;15/02/44;Suporte Técnico;Divorciado;R$5,522
Lester;Sexton;Piracicaba;SP;22/03/75;Recursos Humanos;Viúvo;R$7,425
Giselle;Underwood;Santa Maria;Rio Grande do Sul;04/09/99;Gerenciamento;Casado;R$7,567
Beatrice;Villarreal;Montes Claros;MG;03/03/80;Serviço ao Cliente;Solteiro;R$9,240
Kadeem;Robbins;Ribeirão Preto;São Paulo;17/08/60;Suporte Técnico;Divorciado;R$6,450
Knox;Short;Caxias;Maranhão;21/03/34;Relações Públicas;Casado;R$5,782
Owen;Langley;Campinas;SP;17/09/43;Pesquisa e Desenvolvimento;Solteiro;R$9,588
Trevor;Atkinson;Uberlândia;Minas Gerais;17/11/89;Suporte Técnico;Divorciado;R$9,658
Abdul;Gross;Bacabal;Maranhão;02/06/62;Recursos Humanos;Solteiro;R$5,495
Hannah;Cain;Açailândia;Maranhão;08/08/47;Gerenciamento;Divorciado;R$9,564
Nyssa;Bowers;Bacabal;Maranhão;21/02/34;Recursos Humanos;Casado;R$7,914
Keane;Casey;Castanhal;Pará;12/01/96;Jurídico;Casado;R$6,192
Megan;Monroe;Jundiaí;SP;20/05/96;Suporte Técnico;Divorciado;R$5,035
Velma;Stout;Marabá;PA;12/07/84;Gerenciamento;Casado;R$8,888
Leroy;Soto;Paço do Lumiar;MA;05/03/44;Financeiro;Viúvo;R$6,586
Harlan;Cannon;Porto Alegre;RS;16/06/02;Relações Públicas;Casado;R$8,164
Nicholas;Flores;Montes Claros;Minas Gerais;21/11/07;Gerenciamento;Divorciado;R$7,508
Honorato;Reeves;Uberaba;MG;20/06/65;Suporte Técnico;Divorciado;R$6,730
Griffin;Stephens;Carapicuíba;São Paulo;19/12/66;Marketing;Casado;R$6,282
Fitzgerald;Strong;Carapicuíba;SP;04/10/92;Serviço ao Cliente;Casado;R$5,334
Mollie;Brennan;Rio de Janeiro;Rio de Janeiro;03/01/94;Vendas;Solteiro;R$8,906
Miriam;Knight;Santa Maria;RS;07/10/91;Vendas;Divorciado;R$7,850
Kelsie;Holden;Contagem;MG;14/08/12;Gerenciamento;Solteiro;R$6,813
Galvin;Hunter;Jaboatão dos Guararapes;Pernambuco;28/01/94;Serviço ao Cliente;Divorciado;R$9,985
Colorado;Wilder;Itajaí;SC;02/12/85;Vendas;Solteiro;R$8,780
Gillian;Hebert;Maranguape;CE;06/02/40;Relações Públicas;Casado;R$5,155
Veda;Rivers;Osasco;São Paulo;29/07/17;Financeiro;Casado;R$7,370
Frances;Jarvis;Balsas;MA;23/03/93;Pesquisa e Desenvolvimento;Casado;R$7,573
Cassandra;Kennedy;Campinas;SP;07/08/04;Financeiro;Viúvo;R$7,964
Castor;Burks;Codó;MA;08/11/01;Serviço ao Cliente;Viúvo;R$7,653
Dennis;Macdonald;Vitória da Conquista;Bahia;13/11/72;Serviço ao Cliente;Divorciado;R$6,911
Serena;Delgado;Santa Inês;MA;26/11/57;Recursos Humanos;Divorciado;R$9,955
Graiden;Baldwin;São João de Meriti;Rio de Janeiro;31/05/36;Jurídico;Casado;R$5,435
Brady;Wade;Colombo;PR;20/05/48;Pesquisa e Desenvolvimento;Viúvo;R$8,234
Noble;Bradford;São Gonçalo;Rio de Janeiro;24/05/08;Gerenciamento;Viúvo;R$6,314
Akeem;Clay;Jundiaí;São Paulo;14/06/77;Recursos Humanos;Casado;R$8,307
Tanya;Rowe;Curitiba;PR;25/11/51;Jurídico;Viúvo;R$8,835
Nolan;Peck;Mauá;São Paulo;14/10/67;Pesquisa e Desenvolvimento;Solteiro;R$9,835
Zenaida;Saunders;Mogi das Cruzes;SP;25/12/80;Gerenciamento;Casado;R$9,573
Petra;Elliott;Maracanaú;CE;26/07/83;Gerenciamento;Viúvo;R$7,082
Rahim;Jordan;Londrina;PR;02/05/45;Pesquisa e Desenvolvimento;Viúvo;R$7,124
Thor;Rodriguez;Petrópolis;RJ;01/05/62;Marketing;Viúvo;R$8,867
Maxine;Estrada;Ilhéus;Bahia;10/01/93;Jurídico;Viúvo;R$7,402
Justine;Maxwell;Caxias do Sul;RS;06/01/08;Gerenciamento;Divorciado;R$9,788
Illiana;Ayers;Londrina;Paraná;30/07/65;Marketing;Casado;R$6,688
Lavinia;Gordon;Caruaru;PE;26/06/95;Serviço ao Cliente;Viúvo;R$8,709
Yetta;Peters;Canoas;Rio Grande do Sul;16/06/74;Serviço ao Cliente;Viúvo;R$7,212
Kirestin;Hartman;Juiz de Fora;Minas Gerais;09/04/39;Marketing;Divorciado;R$6,033
Tatyana;Pollard;Balsas;Maranhão;17/02/95;Jurídico;Solteiro;R$8,702
Jeremy;Hays;Camaçari;BA;24/03/46;Financeiro;Divorciado;R$6,417
Whoopi;Craig;Duque de Caxias;Rio de Janeiro;04/06/59;Vendas;Viúvo;R$8,279
Noah;Maddox;Mogi das Cruzes;São Paulo;09/02/73;Jurídico;Viúvo;R$7,890
Kenyon;Preston;Novo Hamburgo;Rio Grande do Sul;09/08/57;Recursos Humanos;Casado;R$8,704
Ina;Pacheco;Ribeirão Preto;São Paulo;13/02/04;Serviço ao Cliente;Solteiro;R$7,381
Neville;Lawson;Açailândia;Maranhão;01/11/81;Vendas;Casado;R$8,469
Raja;Hinton;Diadema;São Paulo;03/09/33;Financeiro;Viúvo;R$9,425
Hedda;Cobb;Canoas;RS;24/04/39;Suporte Técnico;Solteiro;R$5,012
Elijah;Peck;Mogi das Cruzes;São Paulo;02/11/13;Financeiro;Viúvo;R$9,776
Renee;Whitney;Rio Grande;RS;02/12/46;Pesquisa e Desenvolvimento;Solteiro;R$6,270
Cruz;Knapp;Petrópolis;Rio de Janeiro;12/12/53;Gerenciamento;Solteiro;R$9,232
Rebecca;Oconnor;Petrópolis;Rio de Janeiro;16/03/31;Jurídico;Solteiro;R$5,492
Charity;Warren;Jundiaí;São Paulo;23/09/49;Marketing;Solteiro;R$7,784
Cullen;Castillo;Sete Lagoas;MG;05/09/62;Suporte Técnico;Casado;R$8,349
Price;Avila;Carapicuíba;São Paulo;21/01/00;Vendas;Divorciado;R$5,439
Keegan;Bennett;Cabo de Santo Agostinho;Pernambuco;13/06/07;Marketing;Divorciado;R$7,064
Nicholas;Vaughan;Contagem;Minas Gerais;08/08/36;Relações Públicas;Viúvo;R$8,603
Lacey;Phillips;Paulista;PE;25/04/70;Jurídico;Casado;R$9,973
Isaiah;Boyer;Camaçari;Bahia;18/12/85;Relações Públicas;Viúvo;R$8,400
Pandora;Barron;Recife;Pernambuco;18/06/18;Pesquisa e Desenvolvimento;Divorciado;R$5,794
Alexander;Singleton;Novo Hamburgo;RS;24/06/66;Jurídico;Divorciado;R$7,425
Joelle;Williamson;Castanhal;Pará;26/04/32;Suporte Técnico;Casado;R$6,368
Thaddeus;Bright;Juazeiro;BA;20/05/74;Marketing;Viúvo;R$6,518
Casey;Meadows;Osasco;São Paulo;04/08/35;Gerenciamento;Divorciado;R$6,796
Genevieve;Andrews;Osasco;São Paulo;30/12/65;Pesquisa e Desenvolvimento;Casado;R$5,755
James;Welch;Montes Claros;Minas Gerais;19/08/92;Serviço ao Cliente;Viúvo;R$8,482
Sean;Blevins;Santa Luzia;MG;19/12/05;Marketing;Viúvo;R$6,644
Zephr;Galloway;Campos dos Goytacazes;RJ;08/05/95;Vendas;Viúvo;R$5,646
Quinn;Page;Piracicaba;SP;24/08/87;Vendas;Divorciado;R$9,872
Hunter;Langley;Castanhal;Pará;13/06/46;Pesquisa e Desenvolvimento;Casado;R$9,219
Clinton;Howell;Jundiaí;SP;16/02/13;Recursos Humanos;Divorciado;R$6,292
Richard;Fletcher;Diadema;São Paulo;22/04/02;Relações Públicas;Viúvo;R$7,159
Clayton;Gillespie;Itabuna;BA;09/01/30;Jurídico;Casado;R$5,985
Alec;Melton;Camaçari;BA;04/11/92;Jurídico;Casado;R$9,336
Elton;Olsen;Mauá;SP;06/03/58;Pesquisa e Desenvolvimento;Casado;R$7,551
Haley;Conley;Mauá;SP;04/07/87;Recursos Humanos;Solteiro;R$9,259
Hasad;Frederick;Crato;CE;18/11/13;Recursos Humanos;Solteiro;R$6,564
Abbot;Case;Juiz de Fora;Minas Gerais;08/08/00;Marketing;Viúvo;R$8,269
Jayme;Ellis;Carapicuíba;São Paulo;12/06/12;Pesquisa e Desenvolvimento;Viúvo;R$8,621
Lionel;Strickland;Feira de Santana;Bahia;23/11/31;Jurídico;Viúvo;R$5,852
Benedict;Glenn;Campina Grande;PB;28/03/16;Marketing;Viúvo;R$8,734
Melyssa;Trevino;Ipatinga;MG;30/08/03;Suporte Técnico;Casado;R$8,521
Eric;Irwin;Balsas;Maranhão;30/12/57;Serviço ao Cliente;Casado;R$5,609
Gregory;King;Águas Lindas de Goiás;Goiás;30/07/91;Financeiro;Divorciado;R$5,111
Zahir;Alvarez;Paulista;Pernambuco;12/10/62;Vendas;Casado;R$7,535
Vaughan;Gonzales;Santa Maria;Rio Grande do Sul;22/07/73;Suporte Técnico;Solteiro;R$7,543
Jason;Parsons;Diadema;SP;12/12/89;Recursos Humanos;Divorciado;R$9,057
Matthew;Fuentes;Cametá;PA;24/04/67;Serviço ao Cliente;Viúvo;R$8,628
Ciaran;Church;Divinópolis;Minas Gerais;08/03/43;Jurídico;Solteiro;R$7,356
Xantha;Hardy;Mauá;SP;19/12/39;Financeiro;Divorciado;R$7,320
Gavin;Crane;Cabo de Santo Agostinho;PE;25/02/66;Vendas;Casado;R$7,749
Madonna;Porter;Colombo;PR;15/02/44;Suporte Técnico;Divorciado;R$5,522
Lester;Sexton;Piracicaba;SP;22/03/75;Recursos Humanos;Viúvo;R$7,425
Giselle;Underwood;Santa Maria;Rio Grande do Sul;04/09/99;Gerenciamento;Casado;R$7,567
Beatrice;Villarreal;Montes Claros;MG;03/03/80;Serviço ao Cliente;Solteiro;R$9,240
Kadeem;Robbins;Ribeirão Preto;São Paulo;17/08/60;Suporte Técnico;Divorciado;R$6,450
Knox;Short;Caxias;Maranhão;21/03/34;Relações Públicas;Casado;R$5,782
Owen;Langley;Campinas;SP;17/09/43;Pesquisa e Desenvolvimento;Solteiro;R$9,588
Trevor;Atkinson;Uberlândia;Minas Gerais;17/11/89;Suporte Técnico;Divorciado;R$9,658
Abdul;Gross;Bacabal;Maranhão;02/06/62;Recursos Humanos;Solteiro;R$5,495
Hannah;Cain;Açailândia;Maranhão;08/08/47;Gerenciamento;Divorciado;R$9,564
Nyssa;Bowers;Bacabal;Maranhão;21/02/34;Recursos Humanos;Casado;R$7,914
Keane;Casey;Castanhal;Pará;12/01/96;Jurídico;Casado;R$6,192
Megan;Monroe;Jundiaí;SP;20/05/96;Suporte Técnico;Divorciado;R$5,035
Velma;Stout;Marabá;PA;12/07/84;Gerenciamento;Casado;R$8,888
Leroy;Soto;Paço do Lumiar;MA;05/03/44;Financeiro;Viúvo;R$6,586
Harlan;Cannon;Porto Alegre;RS;16/06/02;Relações Públicas;Casado;R$8,164
Nicholas;Flores;Montes Claros;Minas Gerais;21/11/07;Gerenciamento;Divorciado;R$7,508
Honorato;Reeves;Uberaba;MG;20/06/65;Suporte Técnico;Divorciado;R$6,730
Griffin;Stephens;Carapicuíba;São Paulo;19/12/66;Marketing;Casado;R$6,282
Fitzgerald;Strong;Carapicuíba;SP;04/10/92;Serviço ao Cliente;Casado;R$5,334
Mollie;Brennan;Rio de Janeiro;Rio de Janeiro;03/01/94;Vendas;Solteiro;R$8,906
Miriam;Knight;Santa Maria;RS;07/10/91;Vendas;Divorciado;R$7,850
Kelsie;Holden;Contagem;MG;14/08/12;Gerenciamento;Solteiro;R$6,813
Galvin;Hunter;Jaboatão dos Guararapes;Pernambuco;28/01/94;Serviço ao Cliente;Divorciado;R$9,985
Colorado;Wilder;Itajaí;SC;02/12/85;Vendas;Solteiro;R$8,780
Gillian;Hebert;Maranguape;CE;06/02/40;Relações Públicas;Casado;R$5,155
Veda;Rivers;Osasco;São Paulo;29/07/17;Financeiro;Casado;R$7,370
Frances;Jarvis;Balsas;MA;23/03/93;Pesquisa e Desenvolvimento;Casado;R$7,573
Cassandra;Kennedy;Campinas;SP;07/08/04;Financeiro;Viúvo;R$7,964
Castor;Burks;Codó;MA;08/11/01;Serviço ao Cliente;Viúvo;R$7,653
Dennis;Macdonald;Vitória da Conquista;Bahia;13/11/72;Serviço ao Cliente;Divorciado;R$6,911
Serena;Delgado;Santa Inês;MA;26/11/57;Recursos Humanos;Divorciado;R$9,955
Graiden;Baldwin;São João de Meriti;Rio de Janeiro;31/05/36;Jurídico;Casado;R$5,435
Brady;Wade;Colombo;PR;20/05/48;Pesquisa e Desenvolvimento;Viúvo;R$8,234
Noble;Bradford;São Gonçalo;Rio de Janeiro;24/05/08;Gerenciamento;Viúvo;R$6,314
Akeem;Clay;Jundiaí;São Paulo;14/06/77;Recursos Humanos;Casado;R$8,307
Tanya;Rowe;Curitiba;PR;25/11/51;Jurídico;Viúvo;R$8,835
Nolan;Peck;Mauá;São Paulo;14/10/67;Pesquisa e Desenvolvimento;Solteiro;R$9,835
Zenaida;Saunders;Mogi das Cruzes;SP;25/12/80;Gerenciamento;Casado;R$9,573
Petra;Elliott;Maracanaú;CE;26/07/83;Gerenciamento;Viúvo;R$7,082
Rahim;Jordan;Londrina;PR;02/05/45;Pesquisa e Desenvolvimento;Viúvo;R$7,124
Thor;Rodriguez;Petrópolis;RJ;01/05/62;Marketing;Viúvo;R$8,867
Maxine;Estrada;Ilhéus;Bahia;10/01/93;Jurídico;Viúvo;R$7,402
Justine;Maxwell;Caxias do Sul;RS;06/01/08;Gerenciamento;Divorciado;R$9,788
Illiana;Ayers;Londrina;Paraná;30/07/65;Marketing;Casado;R$6,688
Lavinia;Gordon;Caruaru;PE;26/06/95;Serviço ao Cliente;Viúvo;R$8,709
Yetta;Peters;Canoas;Rio Grande do Sul;16/06/74;Serviço ao Cliente;Viúvo;R$7,212
Kirestin;Hartman;Juiz de Fora;Minas Gerais;09/04/39;Marketing;Divorciado;R$6,033
Tatyana;Pollard;Balsas;Maranhão;17/02/95;Jurídico;Solteiro;R$8,702
